,Cookie Name,Domains Associated With,Cookie Expiration,Cookie Security,HTTP Only Status,Total Number of Sites With Cookie,Number of Luxury Clothing Companies With Cookie,Number of Fast Fashion Companies With Cookie,Number of Technology Companies With Cookie,Number of Car Companies with Cookie
47,HMCORP_locale,['.hm.com'],Expires at 1748754903,Secure,Not HTTP Only,1,0,1,0,0
48,cc-sg_LOE_EUR,['www.loewe.com'],Expires at 1733210444,Secure,Not HTTP Only,1,1,0,0,0
49,urbn_device_info,['www.anthropologie.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
50,AWSALBTGCORS,"['richemontintlsa.germany-2.evergage.com', 'lgelectronicsusa.us-7.evergage.com', 'bosecorporation.us-5.evergage.com', 'logitecheurope.us-6.evergage.com']",Expires at 1733813649,Secure,Not HTTP Only,4,1,0,3,0
51,g_cat,['www.maisonmargiela.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
52,dtCookie,"['.boohoo.com', '.prettylittlething.com', '.abercrombie.com', 'www.abercrombie.com', '.nastygal.com', '.hollisterco.com', 'www.hollisterco.com', '.www.bestbuy.com', '.ford.com', '.ferrari.com']",Does not expire,Not secure,Not HTTP Only,10,0,7,1,2
53,acs_usuc_t,"['.aliexpress.ru', '.aliexpress.us', '.aliexpress.com']",Does not expire,Secure,Not HTTP Only,3,0,3,0,0
54,x_app_access_token,['www.ysl.com'],Expires at 1740982513,Secure,HTTP Only,1,1,0,0,0
55,x-edg-experiments,['www.garageclothing.com'],Expires at 3880692876,Not secure,HTTP Only,1,0,1,0,0
56,tt,['.px.mountain.com'],Expires at 1764742598,Secure,Not HTTP Only,1,0,1,0,0
57,country_region,['.samsung.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
58,Path2,['us.maxmara.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
59,_cs_id,"['.cartier.com', '.maxmara.com', '.hermes.com', '.valentino.com', '.ferragamo.com', '.asos.com']",Expires at 1767366057,Not secure,Not HTTP Only,6,5,1,0,0
60,muc_ads,"['.t.co', '.t.co', '.t.co', '.t.co']",Expires at 1796281043,Secure,Not HTTP Only,4,0,1,3,0
61,bcookie,['.linkedin.com'],Expires at 1764745052,Secure,Not HTTP Only,1,0,0,1,0
62,stc-welcome-message,['www.asos.com'],Expires at 1764738005,Not secure,Not HTTP Only,1,0,1,0,0
63,flag_single_page_checkout,['.lulus.com'],Expires at 1733471116,Secure,Not HTTP Only,1,0,1,0,0
64,current-language,['.www.anker.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
65,_lr_geo_location,['www.hyundaiusa.com'],Expires at 1733293533,Not secure,Not HTTP Only,1,0,0,0,1
66,LG5_CartID,['.lg.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
67,fitting_test_new,['.maxmara.com'],Expires at 4102358400,Not secure,Not HTTP Only,1,1,0,0,0
68,dwac_880d104eb6990d47d4cad91b50,['www.givenchy.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
69,rCookie,"['.moncler.com', '.hermes.com', '.valentino.com', '.ferragamo.com', '.uniqlo.com']",Expires at 1796278397,Not secure,Not HTTP Only,5,4,1,0,0
70,siteId,['www.anthropologie.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
71,csrf_token,['www.vw.com'],Expires at 1733210476,Secure,Not HTTP Only,1,0,0,0,1
72,riv-geo-locale,['rivian.com'],Expires at 1733211964,Secure,Not HTTP Only,1,0,0,0,1
73,LTV,['www.showpo.com'],Expires at 1764747956,Not secure,Not HTTP Only,1,0,1,0,0
