,Cookie Name,Domains Associated With,Cookie Expiration,Cookie Security,HTTP Only Status,Total Number of Sites With Cookie,Number of Luxury Clothing Companies With Cookie,Number of Fast Fashion Companies With Cookie,Number of Technology Companies With Cookie,Number of Car Companies with Cookie
213,yscmdp,['.yesstyle.com'],Expires at 2048571865,Secure,Not HTTP Only,1,0,1,0,0
214,granify.session.1447,['.express.com'],Expires at 1890888298,Secure,Not HTTP Only,1,0,1,0,0
215,axp-override,['api-cf.affirm.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
216,GeoFilteringBanner,['www.hermes.com'],Expires at 1735799617,Not secure,Not HTTP Only,1,1,0,0,0
217,akavpau_vpi_in,['www.primark.com'],Does not expire,Secure,HTTP Only,1,0,1,0,0
218,XANDR_PANID,"['.adnxs.com', '.adnxs.com', '.adnxs.com', '.adnxs.com']",Expires at 1740983129,Secure,Not HTTP Only,4,1,2,0,1
219,headerDefault,['.www.ralphlauren.com'],Expires at 2048566382,Not secure,Not HTTP Only,1,1,0,0,0
220,_ga_5HWWHT566V,['.lanvin.com'],Expires at 1796278606,Not secure,Not HTTP Only,1,1,0,0,0
221,_evga_5614,['www.lg.com'],Expires at 1796279167,Not secure,Not HTTP Only,1,0,0,1,0
222,_td_domain_jeep.com,['.jeep.com'],Expires at 1733211502,Not secure,Not HTTP Only,1,0,0,0,1
223,uPref,"['www.abercrombie.com', 'www.hollisterco.com']",Expires at 1733295323,Not secure,Not HTTP Only,2,0,2,0,0
224,CTT,['.bestbuy.com'],Expires at 1740983823,Not secure,Not HTTP Only,1,0,0,1,0
225,geoLocation,"['www.abercrombie.com', 'www.hollisterco.com']",Expires at 1735800923,Not secure,Not HTTP Only,2,0,2,0,0
226,asos-ts121,['.asos.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
227,urbn_clear,['www.anthropologie.com'],Expires at 1733293512,Not secure,Not HTTP Only,1,0,1,0,0
228,userId,['www.showpo.com'],Expires at 1764747956,Not secure,Not HTTP Only,1,0,1,0,0
229,AMCV_8F8B67C25245B30D0A490D4C%40AdobeOrg,['.toyota.com'],Expires at 1796278445,Not secure,Not HTTP Only,1,0,0,0,1
230,_hjSession_437870,['.cartier.com'],Expires at 1733208810,Secure,Not HTTP Only,1,1,0,0,0
231,_shopify_sa_p,"['.lanvin.com', '.peppermayo.com', '.edikted.com']",Expires at 1733210416,Not secure,Not HTTP Only,3,1,2,0,0
232,l0_willRedirect,['www.garageclothing.com'],Expires at 1733210135,Secure,Not HTTP Only,1,0,1,0,0
233,aam_sc,['www.samsung.com'],Expires at 1735795033,Secure,Not HTTP Only,1,0,0,1,0
234,dw_consent_cookie,"['.boohoo.com', '.nastygal.com']",Expires at 1764743814,Not secure,Not HTTP Only,2,0,2,0,0
235,igodigitalstdomain,"['.igodigital.com', '.igodigital.com']",Expires at 1733210191,Secure,Not HTTP Only,2,1,1,0,0
236,LG5_ZipCode,['.lg.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
237,_pxhd,"['www.ralphlauren.com', 'www.anthropologie.com', 'api.anthropologie.com', 'www.lulus.com', 'www.pacsun.com']",Does not expire,Not secure,Not HTTP Only,5,1,4,0,0
238,AMCVS_F207D74D549850760A4C98C6%40AdobeOrg,['.nvidia.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
239,everest_g_v2,"['.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net', '.everesttech.net']",Expires at 1764747435,Secure,Not HTTP Only,12,2,4,1,5
240,wtid,['.lulus.com'],Expires at 1734421520,Secure,HTTP Only,1,0,1,0,0
241,ltkpopup-session-depth,['.oscardelarenta.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
242,site_abbreviation,['www.gucci.com'],Expires at 2093201969,Secure,Not HTTP Only,1,1,0,0,0
243,xm_user_bucket,['.mi.com'],Expires at 1767335642,Not secure,Not HTTP Only,1,0,0,1,0
244,LCID,['www.logitech.com'],Expires at 1738392843,Not secure,Not HTTP Only,1,0,0,1,0
245,ae-msite-province,"['.aliexpress.ru', '.aliexpress.com']",Expires at 3880691288,Not secure,Not HTTP Only,2,0,2,0,0
246,adms_channel,['.maisonmargiela.com'],Expires at 1735800909,Not secure,Not HTTP Only,1,1,0,0,0
247,khaos_p,['.rubiconproject.com'],Expires at 1764743127,Secure,Not HTTP Only,1,0,0,0,1
248,soaid,['www.subaru.com'],Expires at 1833207626,Not secure,Not HTTP Only,1,0,0,0,1
249,ucid,['.cdc.prada.com'],Expires at 1764739882,Secure,HTTP Only,1,1,0,0,0
250,cjUser,"['.lg.com', '.bose.com']",Expires at 1767336448,Secure,Not HTTP Only,2,0,0,2,0
251,lulusdevinfo,['.lulus.com'],Expires at 1735803920,Secure,Not HTTP Only,1,0,1,0,0
252,crl8.fpcuid,"['.express.com', '.bose.com']",Expires at 1764744443,Not secure,Not HTTP Only,2,0,1,1,0
253,aa_dslv,['.maisonmargiela.com'],Expires at 1827816913,Not secure,Not HTTP Only,1,1,0,0,0
254,visid_incap_2787253,['.kmsmep.com'],Expires at 1764668043,Secure,HTTP Only,1,0,1,0,0
255,urbn_uuid,['www.anthropologie.com'],Expires at 1764743112,Secure,Not HTTP Only,1,0,1,0,0
256,__hstc,['.panasonic.com'],Expires at 1748759420,Not secure,Not HTTP Only,1,0,0,1,0
257,detected_bandwidth,['.intel.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
258,_EDGE_V,['.bing.com'],Expires at 1766902352,Not secure,HTTP Only,1,0,0,0,1
259,AMCV_3C3BCE0154FA24300A4C98A1%40AdobeOrg,['.hyundaiusa.com'],Expires at 1796279131,Not secure,Not HTTP Only,1,0,0,0,1
260,_ga_5FC6RD3WZV,['.toshiba.com'],Expires at 1796279481,Not secure,Not HTTP Only,1,0,0,1,0
261,urbn_edgescape_site_id,['www.anthropologie.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
262,_hjSessionUser_437870,['.cartier.com'],Expires at 1764743010,Secure,Not HTTP Only,1,1,0,0,0
263,cart,"['www.fashionnova.com', 'edikted.com']",Expires at 1735886999,Not secure,Not HTTP Only,2,0,2,0,0
264,_vwo_uuid_v2,"['.acer.com', '.anker.com']",Expires at 1764831428,Not secure,Not HTTP Only,2,0,0,2,0
265,dwlocation,['.www.maisonmargiela.com'],Expires at 2048778424,Secure,Not HTTP Only,1,1,0,0,0
266,_px_f394gi7Fvmc43dfg_user_id,['.lulus.com'],Expires at 1796283920,Not secure,Not HTTP Only,1,0,1,0,0
267,TAPID,"['.tealiumiq.com', '.tealiumiq.com']",Expires at 1764745183,Secure,HTTP Only,2,2,0,0,0
268,AMCVS_3C3BCE0154FA24300A4C98A1%40AdobeOrg,['.hyundaiusa.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
269,geolocation-popin-displayed,['www.cartier.com'],Does not expire,Secure,HTTP Only,1,1,0,0,0
270,dw_is_new_consent,"['.boohoo.com', '.nastygal.com']",Expires at 1764743814,Not secure,Not HTTP Only,2,0,2,0,0
271,AMCVS_5288FC7C5A0DB1AD0A495DAA%40AdobeOrg,['.kia.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
272,pn,['.ford.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
273,TDCPM,"['.adsrvr.org', '.adsrvr.org']",Expires at 1764747436,Secure,Not HTTP Only,2,0,0,0,2
274,WC_TOKEN,['www.miumiu.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
275,_pxttld,"['.www.ralphlauren.com', '.www.anthropologie.com', '.www.lulus.com', '.www.pacsun.com']",Does not expire,Secure,Not HTTP Only,4,1,3,0,0
276,AMCV_89B51D4B55B90FBA7F000101%40AdobeOrg,"['.prada.com', '.miumiu.com']",Expires at 1796281184,Not secure,Not HTTP Only,2,2,0,0,0
277,utag_main,"['.www.prada.com', '.maxmara.com', '.maisonmargiela.com', '.www.miumiu.com', '.huawei.com', '.intel.com', '.oracle.com', '.hyundaiusa.com']",Expires at 1764743113,Not secure,Not HTTP Only,8,4,0,3,1
278,at_check,"['.www.valentino.com', '.maisonmargiela.com', '.lulus.com', '.abercrombie.com', '.express.com', '.hollisterco.com', '.apple.com', '.nvidia.com', '.logitech.com', '.ford.com', '.toyota.com', '.nissanusa.com', '.hyundaiusa.com', '.subaru.com', '.jeep.com', '.dodge.com', '.ramtrucks.com', '.chrysler.com', '.miniusa.com']",Does not expire,Not secure,Not HTTP Only,19,2,4,3,10
279,xman_us_f,"['.aliexpress.ru', '.aliexpress.us', '.aliexpress.com']",Expires at 3880691288,Secure,Not HTTP Only,3,0,3,0,0
280,dwanonymous_75f93802d85d401ae747bf3a13f1fc14,['www.bose.com'],Expires at 1748760435,Secure,Not HTTP Only,1,0,0,1,0
281,s_fpid,['.samsung.com'],Expires at 1796274960,Secure,HTTP Only,1,0,0,1,0
282,bounceClientVisit7361v,['www.ferragamo.com'],Expires at 1733210084,Not secure,Not HTTP Only,1,1,0,0,0
283,httpSessionId,['www.uniqlo.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
284,lvni,['.yesstyle.com'],Expires at 1819611866,Secure,Not HTTP Only,1,0,1,0,0
285,ConstructorioID_client_id,['.boohoo.com'],Expires at 1764742780,Not secure,Not HTTP Only,1,0,1,0,0
286,AMCV_0E318178543D44D50A4C98BC%40AdobeOrg,['.nissanusa.com'],Expires at 1793686988,Not secure,Not HTTP Only,1,0,0,0,1
287,unbxd.visitId,['.express.com'],Expires at 1733210086,Secure,Not HTTP Only,1,0,1,0,0
288,AWSALBAPP-3,['us.maxmara.com'],Expires at 1733812105,Secure,Not HTTP Only,1,1,0,0,0
289,__cq_dnt,"['www.ralphlauren.com', 'www.moncler.com', 'www.cartier.com', 'www.givenchy.com', 'www.bottegaveneta.com', 'www.celine.com', 'www.loewe.com', 'us.balmain.com', 'www.maisonmargiela.com', 'us.jimmychoo.com', 'www.forever21.com', 'www.guess.com', 'www.boohoo.com', 'www.showpo.com', 'www.nastygal.com', 'cottonon.com', 'www.pacsun.com', 'www.garageclothing.com', 'www.bose.com', 'www.jbl.com']",Does not expire,Secure,Not HTTP Only,20,10,8,2,0
290,dicbo_id,['www.anker.com'],Expires at 1733209342,Not secure,Not HTTP Only,1,0,0,1,0
291,shopify-url,['.www.anker.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
292,s_ecid,"['.asos.com', '.abercrombie.com', '.express.com', '.hollisterco.com', '.dell.com', '.nvidia.com', '.logitech.com', '.toyota.com', '.hyundaiusa.com', '.fcacert.com', '.fcacert.com']",Expires at 1796279987,Secure,Not HTTP Only,11,0,4,3,4
293,astonmartin#lang,['www.astonmartin.com'],Does not expire,Secure,Not HTTP Only,1,0,0,0,1
294,_sfid_da3c,['.www.celine.com'],Expires at 1796280192,Secure,Not HTTP Only,1,1,0,0,0
295,AMCV_5288FC7C5A0DB1AD0A495DAA%40AdobeOrg,['.kia.com'],Expires at 1796274069,Not secure,Not HTTP Only,1,0,0,0,1
296,bm_mi,"['.givenchy.com', '.celine.com', '.loewe.com', '.jimmychoo.com', '.uniqlo.com', '.express.com', '.dell.com', '.hp.com', '.nissanusa.com']",Expires at 1733214186,Secure,Not HTTP Only,9,4,2,2,1
297,AMCVS_EFD95E09512D2A8E0A490D4D%40AdobeOrg,['.ford.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
298,init_traffic_source,['.www.showpo.com'],Expires at 1795419956,Not secure,Not HTTP Only,1,0,1,0,0
299,swym-swymRegid,['.us.peppermayo.com'],Expires at 1764747889,Secure,Not HTTP Only,1,0,1,0,0
300,HMF_CI,['www.toshiba.com'],Expires at 1735799478,Not secure,Not HTTP Only,1,0,0,1,0
301,__attentive_cco,"['www.oscardelarenta.com', 'www.guess.com', 'www.garageclothing.com', 'www.oneplus.com', 'www.anker.com']",Expires at 1766905044,Secure,Not HTTP Only,5,1,2,2,0
302,akaas_orchestrator,['www.gucci.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
303,_s,"['.app.link', '.app.link']",Expires at 1764744928,Secure,Not HTTP Only,2,0,2,0,0
304,lwp,['.dell.com'],Expires at 1738540800,Not secure,Not HTTP Only,1,0,0,1,0
305,s_gpv,['.valentino.com'],Expires at 1733209480,Secure,Not HTTP Only,1,1,0,0,0
306,op_dtb_auth,['www.oneplus.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
307,landedpage,['www.glassons.com'],Expires at 1735841985,Not secure,Not HTTP Only,1,0,1,0,0
308,FPGSID,['.showpo.com'],Expires at 1733213757,Secure,Not HTTP Only,1,0,1,0,0
309,hyundaimotorcompany!mboxSession,['.hyundaimotorcompany.tt.omtrdc.net'],Expires at 1733208962,Secure,HTTP Only,1,0,0,0,1
310,mp_92a9c3aa7436b768f5a29bf1741171bd_mixpanel,['.lanvin.com'],Expires at 1764742606,Not secure,Not HTTP Only,1,1,0,0,0
311,BAGID,['.www.express.com'],Expires at 1735886686,Not secure,HTTP Only,1,0,1,0,0
312,bt_utmSource,['.asos.com'],Expires at 1735831865,Secure,Not HTTP Only,1,0,1,0,0
313,preferred-locale,"['www.ysl.com', 'www.alexandermcqueen.com']",Expires at 1740983195,Secure,Not HTTP Only,2,2,0,0,0
314,webpush_popup_display,['www.garageclothing.com'],Expires at 1764766189,Secure,Not HTTP Only,1,0,1,0,0
315,_ga_JM1HT9B412,['.ferrari.com'],Expires at 1796280244,Not secure,Not HTTP Only,1,0,0,0,1
316,dwanonymous_c7a463923784a48dccd47b53128ed109,['www.maisonmargiela.com'],Expires at 1748760905,Secure,Not HTTP Only,1,1,0,0,0
317,l_ab_ptd_rokt-enabled,['.lulus.com'],Expires at 1735803916,Secure,Not HTTP Only,1,0,1,0,0
318,city,['.lenovo.com'],Expires at 1733249910,Secure,Not HTTP Only,1,0,0,1,0
319,vltn_aka_geo,['www.valentino.com'],Expires at 1764657281,Not secure,Not HTTP Only,1,1,0,0,0
320,GlobalE_Data,"['.www.forever21.com', '.global-e.com', '.lulus.com', '.www.pacsun.com']",Expires at 1733813541,Secure,Not HTTP Only,4,0,4,0,0
321,yotpo_pixel,"['www.showpo.com', 'edikted.com']",Expires at 1733240152,Not secure,Not HTTP Only,2,0,2,0,0
322,src_countrycode,['.intel.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
323,_cs_mk_aa,"['.valentino.com', '.asos.com']",Expires at 1733203829,Secure,Not HTTP Only,2,1,1,0,0
324,MSCC,['.microsoft.com'],Expires at 1733292685,Secure,Not HTTP Only,1,0,0,1,0
325,akavpau_maintenance_vp,['www.dell.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
326,utag_main_segment,['.hm.com'],Expires at 1733204769,Secure,Not HTTP Only,1,0,1,0,0
327,mboxEdgeCluster,"['.maisonmargiela.com', '.abercrombie.com', '.hollisterco.com', '.samsung.com', '.hyundaiusa.com']",Expires at 1733208972,Not secure,Not HTTP Only,5,1,2,1,1
328,xSeg,"['.abercrombie.com', '.hollisterco.com']",Expires at 1733295323,Not secure,Not HTTP Only,2,0,2,0,0
329,dgzsdl08v4,['api.bounceexchange.com'],Expires at 1733207007,Not secure,Not HTTP Only,1,0,1,0,0
330,swym-pid,['.us.peppermayo.com'],Expires at 1764747888,Secure,Not HTTP Only,1,0,1,0,0
331,cookie_desk,['.prada.com'],Expires at 4102358400,Not secure,Not HTTP Only,1,1,0,0,0
332,igodigitalst_510006708,['.igodigital.com'],Expires at 1733210191,Secure,Not HTTP Only,1,0,1,0,0
333,yscmds,['.yesstyle.com'],Expires at 2048571865,Secure,Not HTTP Only,1,0,1,0,0
334,_gat_tiq,['.maisonmargiela.com'],Expires at 1733208975,Not secure,Not HTTP Only,1,1,0,0,0
335,xnpe_f9e71002-37c0-11ef-ae00-6e34b8767a0d,['api.us1.exponea.com'],Expires at 1827819987,Secure,Not HTTP Only,1,0,1,0,0
336,x-ms-gateway-slice,['login.microsoftonline.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
337,AMCVS_93263704532955710A490D44%40AdobeOrg,['.oracle.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
338,_ga_C9DL1EDDGB,['.hyundaiusa.com'],Expires at 1796279116,Not secure,Not HTTP Only,1,0,0,0,1
339,__cq_uuid,"['.cartier.com', '.givenchy.com', '.celine.com', '.loewe.com', '.balmain.com', '.maisonmargiela.com', '.guess.com', '.cottonon.com', '.pacsun.com', '.garageclothing.com', '.bose.com']",Expires at 1767336447,Not secure,Not HTTP Only,11,6,4,1,0
340,dwanonymous_2891eda053587f68f04e470f0307128f,['www.showpo.com'],Expires at 1748763955,Secure,Not HTTP Only,1,0,1,0,0
341,guid,['.mountain.com'],Expires at 1764742598,Secure,Not HTTP Only,1,0,1,0,0
342,stsservicecookie,['login.microsoftonline.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
343,c_code,['www.nvidia.com'],Does not expire,Secure,Not HTTP Only,1,0,0,1,0
344,dwanonymous_6ff516fc64e5194a34356fc83db5a3b8,['www.moncler.com'],Expires at 1748764019,Secure,Not HTTP Only,1,1,0,0,0
345,tag_session,['.guess.com'],Expires at 1733208393,Secure,HTTP Only,1,0,1,0,0
346,_ga,"['.lanvin.com', '.cartier.com', '.oscardelarenta.com', '.maxmara.com', '.captcha-delivery.com', '.hermes.com', '.valentino.com', '.ferragamo.com', '.balmain.com', '.maisonmargiela.com', '.uniqlo.com', '.guess.com', '.yesstyle.com', '.peppermayo.com', '.lulus.com', '.showpo.com', '.glassons.com', '.aliexpress.us', '.aliexpress.com', '.cottonon.com', '.edikted.com', '.garageclothing.com', '.toshiba.com', '.huawei.com', '.oneplus.com', '.bose.com', '.anker.com', '.kia.com', '.hyundaiusa.com', '.ferrari.com']",Expires at 1796280238,Not secure,Not HTTP Only,30,10,12,5,3
347,EL_PREF,['.fordlincolnshared.mpeasylink.com'],Expires at 1764738797,Not secure,Not HTTP Only,1,0,0,0,1
348,img,['www.lulus.com'],Expires at 1735803917,Not secure,Not HTTP Only,1,0,1,0,0
349,AMCV_982E985B591252110A495C70%40AdobeOrg,['.maisonmargiela.com'],Expires at 1796280916,Not secure,Not HTTP Only,1,1,0,0,0
350,datadome,"['.hermes.com', '.jbl.com']",Expires at 1764744605,Secure,Not HTTP Only,2,1,0,1,0
351,uid,['.criteo.com'],Expires at 1766903836,Secure,Not HTTP Only,1,0,0,1,0
352,ga_dl,['www.hyundaiusa.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
353,dwac_96d872d82b4cd40d8fd382586a,['us.jimmychoo.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
354,bounceClientVisit1828c,['.bounceexchange.com'],Expires at 1733208204,Secure,Not HTTP Only,1,0,1,0,0
355,urbn_uuid_session,['www.anthropologie.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
356,bm_sz,"['.gucci.com', '.prada.com', '.cartier.com', '.maxmara.com', '.givenchy.com', '.celine.com', '.loewe.com', '.jimmychoo.com', '.asos.com', '.hm.com', '.uniqlo.com', '.prettylittlething.com', '.express.com', '.primark.com', '.dell.com', '.hp.com', '.lenovo.com', '.sony.com', '.bestbuy.com', '.bbystatic.com', '.amd.com', '.ford.com', '.nissanusa.com']",Expires at 1733221384,Not secure,Not HTTP Only,23,8,6,7,2
357,_ga_8GRJ7QNG8D,['.huawei.com'],Expires at 1796279581,Not secure,Not HTTP Only,1,0,0,1,0
358,ak_bmsc,"['.gucci.com', '.prada.com', '.cartier.com', '.alexandermcqueen.com', '.maxmara.com', '.givenchy.com', '.tomford.com', '.celine.com', '.ferragamo.com', '.loewe.com', '.miumiu.com', '.jimmychoo.com', '.asos.com', '.hm.com', '.uniqlo.com', '.prettylittlething.com', '.express.com', '.primark.com', '.microsoft.com', '.dell.com', '.hp.com', '.lenovo.com', '.acer.com', '.us.lg.com', '.lg.com', '.sony.com', '.panasonic.com', '.nvidia.com', '.intel.com', '.amd.com', '.ford.com', '.honda.com', '.nissanusa.com', '.jeep.com', '.dodge.com', '.ramtrucks.com', '.chrysler.com', '.miniusa.com']",Expires at 1733218632,Not secure,Not HTTP Only,38,12,6,12,8
359,LPVisitorID,['va.v.liveperson.net'],Expires at 1764743132,Not secure,HTTP Only,1,0,0,0,1
360,mm_glc,['www.celine.com'],Expires at 1733812984,Secure,HTTP Only,1,1,0,0,0
361,HMY_JC,['www.toshiba.com'],Expires at 1733207508,Not secure,Not HTTP Only,1,0,0,1,0
362,_ga_X9B2ESZ9ZX,['.garageclothing.com'],Expires at 1796281245,Not secure,Not HTTP Only,1,0,1,0,0
363,_conv_s,['.glassons.com'],Expires at 1733213186,Not secure,Not HTTP Only,1,0,1,0,0
364,first_session,['edikted.com'],Expires at 1735973426,Secure,Not HTTP Only,1,0,1,0,0
365,_ga_025DKZL5HC,['.hyundaiusa.com'],Expires at 1796279122,Not secure,Not HTTP Only,1,0,0,0,1
366,site_domain,['.maxmara.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
367,LSKey-c$CookieConsentPolicy,"['service.force.com', 'maxmarafashiongroup.my.salesforce.com', 'service.force.com', 'service.force.com', 'service.force.com', 'urbn.my.salesforce.com', 'service.force.com', 'service.force.com', 'harman.my.salesforce-sites.com', 'service.force.com', 'harmaninternational.secure.force.com']",Expires at 1764744613,Secure,Not HTTP Only,11,4,4,3,0
368,dwac_7df8b4c397fc8337ee325e115c,['www.cartier.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
369,__exponea_etc__,"['.boohoo.com', '.glassons.com', '.nastygal.com']",Expires at 1827815818,Secure,Not HTTP Only,3,0,3,0,0
370,notice_behavior,['.oracle.com'],Does not expire,Secure,Not HTTP Only,1,0,0,1,0
371,akavpau_www2_en_us,['www2.hm.com'],Does not expire,Secure,HTTP Only,1,0,1,0,0
372,visivale,['.ford.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
373,_ga_ZVFLN9B4R5,['.lanvin.com'],Expires at 1796278605,Not secure,Not HTTP Only,1,1,0,0,0
374,visid_incap_3114193,['.breadpayments.com'],Expires at 1764668043,Secure,HTTP Only,1,0,1,0,0
375,dwsid,"['www.ralphlauren.com', 'www.ysl.com', 'www.moncler.com', 'www.cartier.com', 'www.alexandermcqueen.com', 'www.givenchy.com', 'www.bottegaveneta.com', 'www.celine.com', 'www.loewe.com', 'us.balmain.com', 'www.maisonmargiela.com', 'www.jimmychoo.com', 'us.jimmychoo.com', 'www.forever21.com', 'www.guess.com', 'www.boohoo.com', 'www.showpo.com', 'www.nastygal.com', 'www.cottonon.com', 'cottonon.com', 'www.pacsun.com', 'www.garageclothing.com', 'www.bose.com', 'www.jbl.com']",Does not expire,Secure,HTTP Only,24,13,9,2,0
376,_m_h5_tk_enc,['.aliexpress.us'],Expires at 1733812439,Secure,Not HTTP Only,1,0,1,0,0
377,selectedCountry,['.balmain.com'],Expires at 1764744802,Secure,Not HTTP Only,1,1,0,0,0
378,_ga_PYTCPPBRHL,['.peppermayo.com'],Expires at 1796283888,Not secure,Not HTTP Only,1,0,1,0,0
379,smartSignals2UiD,"['.audiusa.com', '.smart-digital-solutions.io']",Expires at 1735885168,Secure,HTTP Only,2,0,0,0,2
380,cc-nx-g_LOE_EUR,['www.loewe.com'],Expires at 1735800644,Secure,Not HTTP Only,1,1,0,0,0
381,fv_v31_v40,['.ford.com'],Expires at 1764738647,Not secure,Not HTTP Only,1,0,0,0,1
382,ANTI_FRAUD_CART_TOKEN,['www.uniqlo.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
383,AMCV_3ECF483F53AB366E0A490D44%40AdobeOrg,"['.jeep.com', '.dodge.com', '.ramtrucks.com', '.chrysler.com']",Expires at 1796280144,Not secure,Not HTTP Only,4,0,0,0,4
384,Country,"['www.prada.com', 'www.miumiu.com']",Expires at 1733212771,Secure,Not HTTP Only,2,2,0,0,0
385,_dy_soct,"['.forever21.com', '.pacsun.com']",Expires at 1764744749,Not secure,Not HTTP Only,2,0,2,0,0
386,swym-email,['.us.peppermayo.com'],Expires at 1764747889,Secure,Not HTTP Only,1,0,1,0,0
387,FPLC,['.showpo.com'],Expires at 1733283957,Secure,Not HTTP Only,1,0,1,0,0
388,optimizelyEndUserId,"['.gucci.com', '.audiusa.com']",Expires at 1748758767,Not secure,Not HTTP Only,2,1,0,0,1
389,customer-country,"['www.ysl.com', 'www.alexandermcqueen.com']",Expires at 1740983199,Secure,Not HTTP Only,2,2,0,0,0
390,FPID,['.showpo.com'],Expires at 1796283957,Secure,HTTP Only,1,0,1,0,0
391,browserupdateorg,['www.honda.com'],Expires at 1733811330,Secure,Not HTTP Only,1,0,0,0,1
392,dwanonymous_8ec2a3ea3f645ae6848b8616384dea5c,['us.jimmychoo.com'],Expires at 1748761416,Secure,Not HTTP Only,1,1,0,0,0
393,l7_az,['.paypal.com'],Expires at 1733210096,Secure,HTTP Only,1,0,1,0,0
394,aka_client_code,"['www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com', 'www.hp.com']",Does not expire,Not secure,Not HTTP Only,21,0,0,21,0
395,_vwo_ds,"['.acer.com', '.anker.com']",Expires at 1735801033,Not secure,Not HTTP Only,2,0,0,2,0
396,prod_find_method,['www.maisonmargiela.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
397,Shoplift_Analytics,['.edikted.com'],Expires at 1764744623,Not secure,Not HTTP Only,1,0,1,0,0
398,fv_entpg,['.ford.com'],Expires at 1764738647,Not secure,Not HTTP Only,1,0,0,0,1
399,ab_test_ig_followers_page_count,['www.showpo.com'],Expires at 253402300799,Not secure,Not HTTP Only,1,0,1,0,0
400,akaas_www_uniqlo_com_us_audience_segmentation_csr_ssr,['www.uniqlo.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
401,s_vi,['.apple.com'],Expires at 1733203842,Secure,Not HTTP Only,1,0,0,1,0
402,t_gid,"['.taboola.com', '.taboola.com']",Expires at 1764745044,Secure,Not HTTP Only,2,0,1,1,0
403,LG5_ZipCode_Address,['.lg.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
404,dy_fs_page,['.pacsun.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
405,_ot_referrer_path,['.mi.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
406,_blkp_xps,['.garageclothing.com'],Expires at 253402300799,Not secure,Not HTTP Only,1,0,1,0,0
407,_ga_486JX7GSES,['.ferragamo.com'],Expires at 1796280282,Not secure,Not HTTP Only,1,1,0,0,0
408,s_dfa,['.audiusa.com'],Expires at 1733208567,Not secure,Not HTTP Only,1,0,0,0,1
409,preferredLanguage,['.dolcegabbana.com'],Expires at 1764744091,Not secure,Not HTTP Only,1,1,0,0,0
410,ab-exp-uid,['www.gucci.com'],Expires at 1764737901,Not secure,Not HTTP Only,1,1,0,0,0
411,usid_LOE_EUR,['www.loewe.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
412,_EDGE_S,['.bing.com'],Does not expire,Not secure,HTTP Only,1,0,0,0,1
413,browseCountry,['.asos.com'],Expires at 1764738001,Not secure,Not HTTP Only,1,0,1,0,0
414,g,"['.creativecdn.com', '.creativecdn.com', '.creativecdn.com', '.creativecdn.com', '.creativecdn.com']",Expires at 1764745245,Secure,Not HTTP Only,5,0,5,0,0
